code,description
A,W/ NO VISION PANEL
Aa,W/ NO VISION PANEL
AA,W/ NO VISION PANEL
B,W/ SMALL VISION PANEL
Ba,W/ SMALL VISION PANEL
BB,W/ SMALL VISION PANEL
C,W/ LARGE VISION PANEL
Ca,W/ LARGE VISION PANEL
CC,W/ LARGE VISION PANEL
D,FULLY GLAZED
DD,FULLY GLAZED
E,W/ SPECIAL SIZED VISION PANEL
EE,W/ SPECIAL SIZED VISION PANEL
F,W/ LOUVER
G,W/ DOUBLE LOUVER
SA,SLIDING DOOR W/ NO VISION PANEL
SB,SLIDING DOOR W/ SMALL VISION PANEL
SC,SLIDING DOOR W/ LARGE VISION PANEL
SD,SLIDING DOOR W/ FULL GLAZING
SE,SLIDING DOOR W/ SPECIALIZED SIZED VISION PANEL
SAA,DOUBLE SLIDING DOOR W/ NO VISION PANEL
SBB,DOUBLE SLIDING DOOR W/ SMALL VISION PANEL
SCC,DOUBLE SLIDING DOOR W/ LARGE VISION PANEL
SDD,DOUBLE SLIDING DOOR W/ FULL GLAZING
SEE,DOUBLE SLIDING DOOR W/ SPECIALIZED SIZED VISION PANEL
